start	end	text
386286	388148	Hello, I'm Zeina Badawi.
388308	394534	Welcome to the Maison de la Paix in Geneva for this UN Secretary-General debate.
394995	409530	Now, of course, Geneva is a city which is home to numerous UN bodies, so there is a lot of buzz in the city about who is going to be the next Secretary-General of the United Nations, who will succeed Antonio Guterres at the start of the year.
409930	412371	Well, currently there are five candidates.
412872	414732	Three of them are with me here on stage.
414773	417314	We have a video intervention from the fourth.
417774	434622	So we're going to be testing their suitability by asking them questions from our audience here about whether they are really the right person to take on this enormous role at a critical time, not only for the UN itself, but at a time in global history.
435143	439465	Before we hear from the candidates, we're going to set the scene with this brief film.
446582	459225	More than 80 years after its founding, the question of who leads the United Nations is more important than ever before because in 2026, the global order is at a decisive moment.
460365	474529	There's not only a series of protracted conflicts which scar the world, but there's also a growing distrust in global institutions and a weakening of the multilateral consensus that has held since the Second World War.
476233	488695	Despite these pressures, the United Nations remains the only universal forum where all member states can come together, an institution that is often a lifeline for millions of people around the world.
489658	499244	At the same time, it's being called upon to become more agile, representative and effective, capable of responding to the challenges of the 21st century.
499884	511712	And that is why the choice of the next Secretary General is not merely a moment of institutional transition, it is a decision about the very future of multilateralism.
513352	517715	The leadership required today demands more than just diplomatic experience.
517775	524019	It calls for a figure who can uphold the UN Charter and the principles of international law.
524479	528502	Someone who can strengthen cooperation in a fragmented world.
528902	533865	Someone who can turn conflict and confrontation into dialogue and negotiation.
534886	546504	In a nutshell, the UN Charter's founding principles uphold the human rights of all peoples and equality between men and women and nations, big or small.
548097	565220	The UN needs leadership that can act in profoundly difficult, dangerous and complex environments with an understanding of crises on the ground and a genuine commitment to advancing sustainable solutions on a planet increasingly affected by climate change.
566399	583776	The legitimacy of the next Secretary General will depend not only on the support of member states, but also on the trust of societies, communities affected by conflict, and younger generations who may question the credibility of the current international system.
585217	589461	Today, the candidates come together in a shared public debate space.
590415	597501	a place to contrast visions, priorities and leadership approaches in a response to current global challenges.
598542	613135	This debate is not only a presentation of candidacies, it is a global conversation at a pivotal time in history about the kind of leadership the international community needs for the years and decades ahead.
626625	633792	So a brief outline there of the kind of challenges that lie ahead for the next Secretary General of the United Nations.
633853	642141	Now, this is a post which one former Secretary General of the UN described as the most impossible job on this earth.
642601	647006	So why on earth do these candidates want to assume the position?
647587	649327	me tell you who they are and we'll find out why.
649628	673013	Rebecca Grinspan was a vice president in her native Costa Rica and she's currently head of UNCTAD which is the UN's body on trade and development but Rebecca I know you've stepped down temporarily while you're doing all your candidacy stuff so thank you very nice to see you Rebecca and also we have Maria Espinoza from Ecuador where she served as foreign and defense minister and Maria you've also been
673773	676294	president of the UN General Assembly, so welcome to you.
676814	682057	And Michelle Bachelet was president of Chile until 2018, but she's an old UN hand.
682077	686699	She's also been head of UN Women and the UN Human Rights Council.
686759	688720	So that is our panel here with us.
689060	690200	Welcome to you all.
690220	691281	Give them a round of applause.
691641	692081	Thank you.
698969	701011	As I said at the outset, there are five candidates.
701051	706758	We also have President Macisal, former president of Senegal, who was sent us a video intervention.
706778	708960	We'll be hearing from him a little bit later.
709100	714286	And also Rafael Grossi from Argentina, who was the current head of the IAEA.
714326	715047	That's the UN's
715387	718410	Body International Atomic Energy Agency.
718810	722474	Now he's not available to be with us and he also chose not to send us a video.
722994	735066	So now let's start with our questions from our audience here in the Maison de la Paix and the first question is from Eugenia Rogers who's a Geneva Graduate Institute student.
735526	737108	Eugenia your question please.
739175	740275	Thank you very much.
740455	742096	It's such a pleasure to be here.
742796	755539	My question for you is that many young people around the world feel that multilateral institutions are struggling to deliver on the challenges that matter most to our futures.
756039	768982	So what would you do as Secretary General to rebuild trust in the United Nations among younger generations and demonstrate that multilateralism can still be a force for change?
769322	769782	Thank you.
770763	775125	So let's take that second bit of the question there, because we're going to talk about the role of the SG presently.
775205	778647	So how can you revive trust in multilateralism?
779087	779467	Rebecca.
779847	785550	Well, I think that first, we need to listen to you, not only invite you.
787251	794175	I think that it's true that the young people feel very worried about their future.
795390	804012	And I think that there is a lot of skepticism, as you said, with respect to the UN and the multilateral system.
805152	813934	I will nonetheless call on you not to allow skepticism to go to fatalism.
814694	819015	Skepticism is a question, but fatalism is a surrender.
820015	830956	So I call on you not to allow anybody to tell you or to tell us that we have no choices and that we cannot do better.
832012	850262	My second point is that you will rebuild trust when you will deliver, as you said, in your problems, when we will address conflicts that are recruiting you and displacing you, when we will care about the planet that we
852583	873472	that we live in and you will inherit, when we will face the debt problem that doesn't allow your country to invest in their people, in education and health, when we will give you a seat in defining the technologies and what we will do for the future.
873933	876514	So delivering on the challenges.
877264	879048	But let me ask all of you here.
880050	883378	We want you to trust us, but do you know
884837	889220	How, what is the percentage of young people under 30 in the U.S.?
889540	892502	You're supposed to be answering the questions, not asking them, for any way.
892782	893382	Do you know?
894003	895163	Do you have any idea?
895684	896624	Do you have any idea?
897024	897705	Okay, let's assume.
897725	898405	Four percent.
898746	899126	Oh, right.
899286	899926	Four percent.
900647	907191	So, an institution that wants you to trust us cannot make you invisible.
908051	911313	If you're invisible, you will never trust us.
911453	919076	And so, build and trust start also, but what we have to do inside the UN, not only outside the UN.
919276	919696	Thank you.
919776	921917	Maria Spinoza, your answer to that question.
921957	927360	So global challenges require a multilateral response, essentially is what Rebecca's been saying.
928140	930461	Well, I can relate very well to her.
931382	932222	I understand
932900	936702	exactly why one would feel disappointed.
937402	940944	Because trust is not something you declare, it's something you earn.
941584	948088	And the way to earn the trust and the credibility is through delivery.
949126	957790	And I think the UN does not suffer from a crisis of purpose or principles enshrined in the Charter.
958250	965734	It suffers from a crisis of delivery, of impact, of accountability, and of inclusion.
966474	972697	And of course, when we see a young person asking that question, we have come up with
973805	977207	the Declaration on Future Generations, a new office for young people.
977667	981149	But it is not only about listening to young people.
981669	985891	It's about having them being the architects of their own future.
986411	989713	Not the victims, but the agents of transformation.
990253	994855	In the multilateral space, what that means is decisions that are taking
995355	1004902	in the multilateral space have to listen to the younger generations, have them bring their ideas and innovation, and transform the system.
1005402	1018912	As Secretary General, this is the transformation I want to lead, an intergenerational transformation to regain the trust, the credibility, and the purpose of the UN through delivery.
1019472	1021153	It is about impact.
1021313	1024315	It is about touching and transforming people's lives.
1024675	1028538	That's exactly what the UN was called to do.
1028998	1031700	The first phrase of the Charter, which is my favorite one,
1032985	1034386	is we the peoples.
1034786	1038968	And of course, we the peoples is the 1.5 billion young people around there.
1039368	1043890	In my own team now as a candidate, most of my team are under 30.
1044411	1045791	And it's not to check the box.
1046132	1059598	It is about having them giving the intelligence, the advice, and being part of the proposals that I am bringing to the UN, a UN that has to be credible and trusted, has to be earned.
1059778	1060198	Thank you.
1060539	1061319	Michelle Bachelet.
1061599	1064721	Well, I agree with what both have said already, of course.
1065621	1076387	But I think, and I remember once working at UN AIDS, UN Women, and a girl says to me, it's not enough that I'll be sitting in the table.
1076647	1078428	I want to discuss the shape of the table.
1079389	1081350	So young people have ideas.
1081870	1085052	In many of the areas that we see as huge challenges for
1085892	1100226	and need a multilateral answer, like climate change and others, and AI, et cetera, young people can play a direct role because they are creative, they have an innovative perspective, et cetera.
1100706	1106471	So I do believe that what the Secretary General has to do, a future Secretary General, is to ensure
1107212	1112054	that the UN not only communicates better, but really is results oriented.
1112074	1114934	Because, as you said, Maria Fernanda and I agree on that.
1115055	1117855	It's delivering what people will realize.
1118336	1120796	Is this institution doing what they have to do?
1120936	1122997	Is it having the answer that we need?
1123477	1131840	And is it not only listening to us, but because you can listen and not do anything about it afterwards, it's either taking into consideration our demands, our needs.
1132160	1134741	But I have to say also that multilateralism
1135461	1136422	has a lot of problems.
1136482	1142408	But if we didn't have a multilateral system, children in the refugee camps wouldn't have vaccines.
1143009	1147814	People on displacement wouldn't have support.
1148094	1154040	So there's a lot of things that multilateralism has done, and we need to improve everything that needs to be done better.
1154180	1156922	But multilateralism and the UN are not the same thing.
1156942	1161567	I mean, there are lots of regional bodies, the African Union, the European Union, ASEAN, and so on.
1161867	1167892	And a lot of people are saying, actually, this is a more pragmatic approach to multilateralism, you know, bite-sized chunk.
1167912	1172176	We're asking too much of the UN, 193 countries, to try and get consensus.
1172616	1175439	It becomes, you know, you just get institutional inertia.
1175846	1179931	So perhaps all of you would just address this issue of regional bodies very quickly.
1179951	1186039	Do you think that perhaps they are less unwieldy than the UN as a multilateral tool?
1186500	1192147	Yes, and I think this is clear, for example, when you have to deal with issues of peace and security.
1192848	1195810	or when we are talking about financing for development.
1196110	1206056	I mean, all these regional groups, and you mentioned many of them, but also the development banks in different regions, can play an important role as well.
1207037	1207717	Regional bodies?
1208257	1208938	Shout out to them.
1210326	1215711	Well, what I would say that the world has changed in these eight years.
1216592	1223119	The role of regions, the role of banks, the role of the private sector, it's extremely important.
1223159	1225841	The UN is not the only game in town anymore.
1226482	1237810	But the UN is irreplaceable because it's the only universal platform that brings all countries together to face and respond to the challenges of the world of today.
1238190	1242252	We are living an era of radical interdependence.
1242573	1245455	The big question is how we govern interdependence.
1245755	1252879	The UN, I think, is absolutely the only universal body that brings everybody together.
1252919	1255041	That's both its strength and weakness you can't get.
1255796	1260000	The phrase I have been using is the UN is unique, but it's not alone.
1260821	1267506	There are much more capacities today outside the UN, not like in 1945.
1268087	1273131	But the UN has a culture problem, because we want everything to come on the UN.
1273551	1277555	We don't know how to deeply partner, real partnership.
1279798	1289392	For example, the African Union, we have resolutions trying to make them a stronger actor in peace and security.
1289812	1292977	We still haven't made that decision.
1293057	1293978	happen.
1294118	1300545	Implementation of real partnerships is really lagging behind because of the culture of the UN.
1300845	1302067	So we need to refocus.
1302527	1303448	We are unique.
1303829	1308954	We have to do the things in which we are unique, but we have to learn how to partner.
1309074	1314838	I don't pose it as a question, but we know that 42% of the UN's funding comes from the United States and China.
1314958	1320882	U.S. currently $4 billion in arrears, and China owes about half a billion currently.
1320982	1324785	So, you know, there is a question of, can you do anything if you don't have the money?
1324845	1330189	And Antonio Guterres, we know, has been saying, I don't have the money, I'm going to run out very soon.
1330249	1332070	But anyway, that's a question for another day.
1332671	1335052	You mentioned the African Union, and indeed...
1336143	1337444	For our nightmares, you mean.
1339224	1344646	That's going to be something for you to grapple with, getting the money if any one of you assumes the role.
1344686	1352149	Well, somebody else who wants to assume the position of Secretary General of the UN is one of our candidates, Maki Sal, former president of Senegal.
1352189	1359172	He couldn't be with us, but he has sent us this video message setting out his perspective on multilateralism.
1361813	1365955	I believe that the international system is fragmented.
1367148	1369388	because trust has been weakened.
1370429	1374850	And without trust, multilateralism cannot deliver.
1375850	1381891	If selected Secretary General, I would champion three concrete changes.
1383051	1389953	First, I would work to bring the United Nations back to its member states.
1391173	1396234	Reform must be owned by countries large
1396838	1399318	and small, north and south.
1400319	1406040	The UN must listen more and act with more inclusiveness.
1407920	1426603	As Secretary General, I will be a bridge builder, someone able to speak to everyone, listen to everyone, bring positions closer, and maintain dialogue even in times of high tension.
1428586	1432327	Second, I would make the UN more effective on the ground.
1433587	1444129	When they must be rationalized and clear, resources better used and results better measured.
1445529	1455731	Third, while taking care of human rights, I would also make development a central pillar of peace.
1456852	1458312	We cannot fight terrorism.
1459005	1464608	instability or migration only with security responses.
1466289	1481456	We must win the battle of development by promoting jobs for youth, women, investment, infrastructure, climate justice, and fair access to finance.
1483017	1486759	The Secretary General has no army and no police
1488027	1496090	His true strength is credibility, impartiality, and moral authority.
1497391	1499592	I'm not running for a career.
1500692	1515258	I'm running for impact to rebuild trust, restore dialogue, and help make the United Nations a stronger tool of collective action.
1518948	1527438	Mackie Sell, the former president of Senegal, making his pitch on how he would restore trust in the UN and deliver on multilateralism.
1527999	1537009	So now we can go to a second question from our audience and former executive director of the Kofi Annan Foundation, Kofi Annan of course,
1537970	1540891	the late Kofi Annan, a former Secretary General of the UN himself.
1540972	1546454	And we have a question from Corinne Momal Vanillon on leadership.
1546654	1547014	Thank you.
1547735	1548475	Good afternoon.
1548975	1556699	And the question I'd like to ask the candidates is, what is their vision of the role of the Secretary General in peace and security?
1556899	1559040	Is it that of a Secretary General
1559540	1571969	who is a political actor in her own right and who can take initiatives and shape global diplomacy along the lines of articulated by Boutros Boutros-Ghali 30 years ago in his Agenda for Peace?
1572650	1585379	Or is it more of a Secretary General focused primarily on facilitating cooperation among member states as put forward by Antonio Guterres in his new Agenda for Peace three years ago?
1585719	1586400	Thank you very much.
1587475	1602441	OK, I should just add that there is something in the charter, isn't there, the UN Charter Article 99, which allows the Secretary General to invoke, to take it to the Security Council if he, she feels that there's a real threat to international peace and security.
1602461	1609404	And Antony Guterres, I believe, has only actually ever done this once in 2023 during the Israel-Gaza conflict and so on.
1609824	1615587	So just to bear that in mind as well, whether you would trigger the use of Article 99.
1615647	1615947	Maria.
1617664	1619765	Well, I didn't say that, but...
1620165	1624547	In English, if we... Yeah, in English, but I think...
1633792	1636833	Multilingualism is extremely important.
1637694	1641095	I think the French language is also very important.
1641655	1650978	In the hub of the UN here in Geneva, it's a francophone, and I understand that there is no translation, but I wanted to say hello.
1651319	1653179	You all speak French, don't you?
1653379	1654460	And bonjour, and bonjour.
1655340	1659743	And my question is not an either-or response.
1660223	1671710	I think a secretary-general should use every tool provided in the charter to be, first of all, work very strongly on prevention.
1671750	1675653	That's why I'm proposing a prevention and early action hub.
1676673	1690139	has to work as a peacemaker, has to work also to support others when they take the lead on peacemaking, and has to be an onus broker and impartial agent.
1690420	1695822	But impartiality doesn't mean a silence or paralysis.
1696302	1700823	It really means to be able to bring all the parties together.
1701343	1704864	I did that when I was president of the UN General Assembly.
1705244	1712225	I brought 193 countries together to discuss very complex and contentious issues.
1712725	1724767	It's the ability to convene, the ability to really serve as a true bridge builder, but it is also to be active, to be present, to be present, to be seen
1725287	1730851	when a conflict is about to erupt or when a conflict has already happened.
1731411	1735595	Early warning, early action are of utmost importance.
1736115	1747703	As we said, the UN is not the only game in town, but the secretary-general should be foot on the ground, active, present, engaged, and be trusted by all member states.
1747843	1750806	So a UN secretary-general out in the field as much as possible.
1750906	1751966	OK, Michelle Bachelet.
1752907	1755390	I agree also that you have to be both.
1756311	1760795	And of course it will depend on the moment and which is the role that you have to play.
1761736	1774549	On one hand, if you have a person who wants to facilitate, but that has no independent judgement, that's not going to be a facilitator, that's going to be a moderator, and the UN doesn't need a moderator as Secretary General.
1775410	1787956	If you have, on the other hand, somebody who is independent but has no capability to build trust across the different sides of the problem, you will not be a peacemaker, you will be a commentator of news.
1788396	1793639	So we need somebody who understands the moment, and we have the tools.
1793799	1795900	It's not true that we don't have the tools.
1796380	1798441	The Shutter mentions many of them.
1798941	1801302	Of course, the good offices.
1801762	1803122	Of course, early warning.
1803303	1804963	You need to have early warning signs.
1805483	1806584	You need to mediate.
1806604	1811165	You need to identify who can be your allies in terms of making good results.
1811525	1815587	There's a lot of things that many of us in our former capacity have done many times.
1816527	1818608	The thing I think is not the lack of tools.
1818648	1823851	The problem we have is there's no capacity in the system to read the early warning signs.
1823911	1829414	And I've said it many times, and I've discussed this, being executive director, UN Women, and as high commissioner.
1830655	1835457	I always said that I don't have the time now, that I went to a country, I knew there was going to come coup d'etat.
1835598	1840060	I mentioned to everybody, everybody said I was crazy, and the coup d'etat came two weeks later.
1840480	1843422	Because you have to read what's happening in the country.
1844262	1852230	The last thing I have to say is that by many times what the Secretary needs to do is to facilitate the relation between countries.
1852510	1856914	For example, to find a room or space where people can come together and dialogue.
1857415	1862940	But on the other hand, or to open channels when people are refusing to speak to each other.
1863570	1866112	Sometimes silence cannot happen.
1866533	1868154	You cannot be a complex of silence.
1868234	1871617	If civilians are being killed, the Secretary General has to speak.
1872237	1874880	But also has to work and dialogue with all members of state.
1874900	1877462	That doesn't mean dialogue, doesn't mean endorsement.
1877902	1882586	I mean, you can dialogue and work with countries that you have, or governments that you have criticized.
1882646	1884868	I have worked with governments I have publicly criticized.
1885428	1886709	But that doesn't mean endorsement.
1886729	1890673	It means that you have to engage to try to produce the results needed.
1891213	1905563	So I think the second area has to be both, and the thing is to identify what can work, because sometimes preventive diplomacy is very important, sometimes you have to be actively on the field mediating, but anticipating.
1905603	1911447	I think the US has difficulties to anticipate and to prevent crisis from happening.
1912247	1912607	Rebecca.
1913408	1918872	Well, hearing the question, the first thing that comes to mind is Kofi Annan.
1919712	1924716	Yes, Kofi Annan was an independent leader and a very effective leader at the same time.
1925396	1930680	So his example is a good one to follow.
1931220	1939807	I think that my criteria of success as SGE is that nobody will ask me again
1940687	1942348	Where is the UN?
1944249	1948031	If that question continues, we will be irrelevant.
1948652	1951053	So the important thing is to be there.
1951654	1955016	We have become too risk-averse.
1956082	1957363	We cannot do that.
1958104	1962066	Our only risk and our only failure is not to try.
1962667	1966029	And in many cases, I have to say, we have stopped trying.
1966830	1978939	And we have to try and try again because we are the ones, and the Secretary General is the person, that can assume the cost of failure, the cost of rejection.
1979739	1980600	And we have to do that.
1980820	1983522	We have to be courageous to be able to do that.
1984002	1986184	Try again and try again.
1986304	1990287	We have to navigate many no's until we get a yes.
1990667	1995030	That's what happened when I intervened in the Black Sea Initiative.
1995230	1997692	Yes, nobody believed that we could do that.
1998052	2008500	We did that within the framework of a war, but we understood that we can agree on something that can be important for millions of people in the world
2009020	2011282	even if we don't agree on everything.
2012223	2014065	And the other thing is to engage.
2014766	2015547	We have said that.
2016007	2022774	I believe in early warning, but to tell you the truth, early warning is not an information system.
2023394	2028640	We many times think about early warning as a lot of information that we see indicators.
2029100	2036306	No, early warning is to listen to the ground, is to listen to the people that is in all the countries of the world.
2036726	2044092	And sometimes the headquarters is a wall between the ground and what
2044432	2046653	the decisions that have to be taken.
2046913	2052976	And just the last point, for that to be effective, you have to have the best team.
2053477	2060860	We have to change the office of the Secretary General and have the best team with the Secretary General to be effective.
2060881	2062381	You mentioned the Black Sea thing.
2062401	2069225	That's the Ukraine, UN-Turkey agreement that was struck to allow Ukraine to export its grain.
2070385	2092857	during throughout this the conflict because obviously lots of countries were not getting their grain from Ukraine which has seen as a great success I think 2022-23 but you know a lot of people would say we you know gone are the days when we saw a UN Secretary General shuffling between Washington and Moscow trying to sort out the Cuba missile crisis Javier Perez de Cuellar
2093317	2101130	in 1988, mediating between Iraq and Iran, Dag Hammarskjöld famously trying to bring peace through the Congo and so on.
2101271	2103094	As the world's top diplomat,
2104435	2107297	A lot of people are now saying, you're absent, you're irrelevant.
2107357	2114780	Antonio Guterres says the US-Israeli war on Iran is illegal, but nobody really pays any attention.
2114841	2118282	So all of you are obviously women.
2118663	2122945	We've not to date had a secretary general who is female.
2122985	2125506	You go to the UN headquarters and all the pictures, of course, are men.
2125546	2126747	This is the 10th one.
2127127	2128948	I just wonder if all of you could just answer
2129328	2136051	this point, do you feel that, particularly in terms of your diplomatic skills, that your gender brings something different to the table, Michelle?
2137191	2144455	Well, I think that gender, yes, but not any women, if I have to say.
2145195	2152878	One of the reasons that I've been in many different posts is because I'm not trying to maintain myself at that post, I try to do what needs to be done.
2153879	2156000	So I'm not afraid of
2157140	2159601	risking that what I try doesn't work.
2160362	2162623	I'm not afraid of speaking up when it's needed.
2163063	2170548	I'm not afraid to take a plane and get into the place where I need to be, where I have to talk to and produce a dialogue.
2170568	2182754	So I think women that are there to do these kind of things, we're not too many candidates, not many there, it's because we really believe that we want to put our energy and to produce the results needed for the world.
2182974	2183655	Marius, Vanessa.
2184888	2188115	Well, I think, of course, a woman, it's about time, isn't it?
2188436	2190039	After 80 years, of course.
2193381	2199644	What I say is we need a 360 leader with a lot of energy.
2199964	2200765	What does it mean?
2201245	2203686	It's that you master the three pillars of the UN.
2204326	2213270	That you've been Minister of Defense and it's not that I want to speak about my own bio, but you really need to master.
2214591	2218213	You need to master the three pillars, understand how they come together,
2218893	2221737	and have the energy to act and transform.
2222538	2225742	I differ about the issue of prevention.
2226322	2230347	Prevention and early warning have to be more than a slogan.
2231228	2233772	It has to be an operating principle.
2234272	2242034	It has to be the tool that the secretary general has to inform and to advise member states so they can act.
2242534	2244755	To inform yourself so you can act.
2245115	2251917	So basically a 360 secretary general and of course a woman, the best woman, not any woman.
2251957	2252137	Okay.
2252757	2254358	Rebecca on this issue of gender.
2254798	2258539	I'm running to be secretary general because I think I am the best person for the job.
2259879	2260820	Okay.
2260860	2261560	Short and sweet.
2261600	2262000	Thank you.
2266238	2268681	And there is a sort of unwritten thought.
2268701	2274366	I mean, it's not actually stated explicitly that it is the turn of Latin America and the Caribbean.
2274606	2277429	And, of course, we also... We also...
2278169	2278470	I mean...
2282194	2284155	That's just a sort of convention.
2284596	2288559	I think the last person was Javier Pérez de Cuea from Peru, wasn't it?
2289299	2290380	And that was in the 80s.
2290480	2295804	So now let's go to another question from our audience, a graduate of NYU in New York.
2295944	2300987	And Tamao Chika, you want to ask a question on the burning topic of climate.
2301428	2301768	Thank you.
2302080	2302941	Hi, thank you so much.
2303561	2308685	As a young person, I will live with the consequences of climate change and climate decisions made today.
2309406	2316732	Yet many countries most affected by climate change often have the least influence over global climate decisions and face debt burdens.
2317932	2325378	And climate change is an intersectional issue in which forced migration disproportionately affects women in marginalized communities.
2326198	2334504	So as sector general, how would you ensure the climate governance becomes more equitable in response to those on the front lines of the crisis?
2334784	2335165	Thank you.
2335723	2340726	Michel Bachelet, there are so many facets to climate, of course, but that one seems essentially about climate justice.
2341126	2362617	It's really important what she was mentioning, because the places were being more affected, we're talking about small islands, for example, or low coastal communities, or communities who live in places where they are already having the impact of high sea levels, and of course of the extreme weather.
2363157	2367619	They're usually, as you mentioned correctly, they're not sitting at the table where they make decisions.
2368180	2378125	And I think the Secretary General, one of the things it needs to be doing, on one hand, is to ensure that the secretariat and the whole system more representative.
2378565	2387430	Countries who usually don't have those places, they have to be there so they can bring their issues, not only in the General Assembly, but also inside the office of the Secretary General.
2387970	2394352	I think also that we need to ensure that what we sign, I sign as President of the Republic the agreement to Paris.
2394912	2396153	And we know what needs to be done.
2396193	2397833	We all know what works.
2398394	2407797	And what is lacking is, on one hand, enough finance, because the loss and damage fund was a great idea, but it's under-capitalized, so it's not working.
2408297	2410738	And we also need to implement the Paris Agreement.
2411358	2430224	And in that sense, what I would do is I would bring together all the communities that are affected, I mean, sit with them, with the member states, and create sort of a big, big, I would say, sense of urgency that we need to deal with this, because it's not a matter of future, it's a matter of life.
2430924	2433826	taken today, and of course in the future generations.
2434447	2445696	But I also believe that we need to ensure that all the finance given to those member states that are fighting with a terrible debt
2446797	2449319	It's not possible that it has to be given by loans.
2449639	2453303	They have to receive money with grants because they cannot.
2453723	2464774	I mean, they're drowning and we're asking them to ask for loans with a debt service that's so big, it's higher than they can use in health, in education, but also in climate mitigation and adaptation.
2465234	2485199	So we need to change many things to continue pushing for the urgency that is for humanity, climate change, but not only climate change, pollution, and of course a loss of biodiversity, the triple issue, but also to ensure that the countries have the way to respond to that.
2485639	2486539	Rebecca Greenspan?
2487359	2488159	Yes.
2489060	2494821	Well, I worked extensively on the intersection of climate and development.
2495762	2506112	When I was vice president of my country and the minister of finance before that, Costa Rica reverted with the right policies the forestation.
2506892	2512076	We have today a greener country than we did 40 years ago.
2513337	2518821	And we started with the services for environment, environmental services.
2519762	2529709	And we really strengthened the voice of Costa Rica in the international community because we were credible, we walked the talk.
2530590	2538402	So I think that that is very important in terms of helping and supporting countries with the right policies inside the countries.
2539244	2542108	But second, what the UN can do.
2542769	2545794	First, I think that we need to bring adaptation
2546334	2549477	to also the discussion, not only mitigation.
2549937	2557703	Countries, and you mentioned Shell, the seats or the LDCs, are already suffering the consequence of climate change.
2558123	2564749	So, financing adaptation and the adaptation agenda is central to what we are discussing.
2565389	2570812	Second, we have to scale up finance, but we have also to simplify finance.
2571172	2581438	You know, countries spend years sometimes to be able to get a loan from the funds that we have, from the climate funds and the environmental funds that we already have.
2581498	2583279	They don't have the capacities many times.
2583779	2585760	It's cumbersome and it's bureaucratic.
2585800	2588482	We have to change also the system.
